person_id,era_from,era_to,                                               
733,-300,-200,
734,-300,-200,
735,-300,-256,
736,-300,-200,
737,-300,-200,
738,-300,-200,
739,-300,-200,
740,-310,-200,
742,-300,-200,
743,-300,-175,
744,-283,-246,
745,-300,-200,
746,-300,-175,
747,-300,-175,
748,-300,-200,
749,-300,-200,
750,-300,-200,
751,-300,-221,
752,-325,-200,
753,-300,-249,
754,-300,-175,
755,-273,-175,
756,-300,-175,
757,-280,-150,
758,-299,-150,
759,-300,-175,
760,-300,-175,
761,-273,-175,
762,-278,-150,
763,-275,-175,
764,-275,-175,
765,-275,-175,
766,-275,-215,
767,-275,-175,
768,-274,-236,
769,-275,-175,
770,-275,-175,
771,-264,-175,
772,-275,-175,
773,-275,-175,
774,-275,-175,
776,-274,-150,
777,-275,-175,
778,-273,-175,
779,-275,-175,
780,-279,-213,
781,-270,-150,
782,-275,-175,
783,-275,-175,
784,-275,-236,
785,-250,-211,
786,-300,-175,
787,-279,-202,
788,-275,-216,
789,-272,-211,
790,-275,-234,
791,-275,-211,
792,-277,-216,
793,-261,-217,
796,-275,-175,
797,-275,-150,
798,-275,-175,
799,-275,-175,
800,-275,-230,
801,-275,-230,
802,-275,-175,
803,-265,-175,
805,-275,-200,
806,-263,-216,
807,-254,-200,
808,-275,-150,
809,-275,-175,
810,-270,-208,
811,-275,-175,
812,-259,-150,
813,-263,-225,
814,-250,-214,
815,-250,-196,
816,-250,-150,
817,-256,-211,
818,-251,-150,
819,-275,-200,
820,-275,-216,
822,-250,-209,
823,-255,-150,
824,-260,-209,
825,-275,-150,
826,-250,-216,
827,-262,-200,
828,-250,-220,
830,-250,-150,
831,-300,-221,
832,-255,-211,
833,-250,-210,
835,-250,-150,
836,-250,-150,
837,-250,-150,
838,-250,-150,
839,-250,-150,
840,-250,-150,
841,-250,-150,
842,-250,-82,
843,-250,-150,
844,-250,-150,
845,-250,-150,
846,-250,-150,
847,-250,-150,
848,-250,-150,
849,-250,-150,
851,-250,-150,
852,-257,-216,
853,-275,-204,
854,-250,-205,
855,-250,-200,
856,-259,-211,
857,-250,-150,
858,-247,-211,
859,-250,-150,
860,-250,-217,
861,-250,-217,
862,-250,-150,
864,-250,-150,
865,-250,-150,
866,-250,-212,
869,-250,-125,
870,-250,-200,
871,-250,-150,
872,-250,-150,
873,-250,-150,
874,-243,-150,
875,-250,-216,
876,-250,-216,
877,-239,-184,
878,-235,-183,
879,-249,-204,
880,-250,-125,
881,-250,-150,
882,-243,-125,
883,-250,-150,
884,-250,-150,
885,-152,-50,
886,-250,-150,
887,-250,-150,
888,-250,-150,
889,-250,-216,
890,-250,-216,
891,-245,-125,
892,-250,-216,
893,-250,-216,
894,-250,-216,
895,-250,-150,
897,-150,-50,
898,-250,-150,
899,-250,-150,
900,-250,-150,
901,-250,-150,
902,-250,-150,
903,-250,-200,
904,-245,-210,
905,-241,-150,
906,-250,-150,
907,-234,-149,
908,-242,-125,
909,-250,-150,
910,-250,-150,
912,-243,-150,
913,-250,-150,
914,-243,-125,
915,-250,-150,
916,-250,-208,
917,-250,-150,
918,-250,-150,
919,-237,-174,
921,-250,-213,
923,-239,-150,
924,-242,-200,
925,-250,-150,
926,-235,-183,
927,-250,-150,
928,-250,-150,
929,-250,-150,
930,-229,-180,
931,-240,-180,
932,-250,-150,
934,-250,-150,
935,-250,-150,
936,-250,-125,
938,-250,-172,
939,-250,-150,
940,-250,-150,
941,-250,-150,
942,-250,-150,
943,-250,-150,
944,-250,-150,
945,-250,-150,
947,-250,-150,
948,-244,-150,
949,-240,-150,
950,-250,-150,
952,-235,-170,
953,-229,-100,
957,-250,-150,
958,-250,-125,
959,-250,-150,
960,-250,-150,
961,-250,-150,
962,-250,-150,
963,-250,-150,
964,-225,-216,
965,-250,-150,
966,-251,-150,
967,-230,-125,
968,-250,-150,
969,-250,-150,
970,-250,-150,
971,-250,-150,
972,-250,-150,
