Date,                  Page,       Note Ref,   Assertion Type,         Praenomen,      Nomen,                RE,                       Filiation,                       Cognomen,                        Patrician,    Certainty,    Consular Ancestor,      Certainty,   Calculated Father,           Suggested Father,                                                                       Certainty,      Calculated Grandfather,                 Suggested Grandfather,                                              Certainty,      Brother,                                                            Certainty,      More Remote,                                                        Certainty,      Novus,              Novus Certainty     
by 141,738,        ,           Inferred,              P,              Cornelius,354,                     P.f. P.n.,                       Scipio Nasica (Serapio) ,       Patrician,    Certain,     Yes,                    Certain,     P. Cornelius,               P. Cornelius (202) Lentulus,                                                           Certain,        P. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 141,738,        ,           Inferred,              D,              Iunius,57,                      M.f. M.n.,                       Brutus Callacius ,              ,             ,            ,                       ,            M. Iunius,                  ,                                                                                      ,               M. Iunius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
141,741,140,        Attested,              D,              Iunius,161,                     ,                                Silanus (Manlianus) ,           Patrician,    Certain,     Yes,                    Certain,     ,                           T. Manlius (83) Torquatus (natural),                                                   Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 140,741,143,        Attested,              P,              Cornelius,76,                      ,                                Blasio ,                        Patrician,    Certain,     ,                       ,            ,                           Cn. Cornelius (74) Blasio,                                                             ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 140,741,        ,           Attested,              C,              Hostilius,18,                      A.f. L.n.,                       Mancinus ,                      ,             ,            Yes,                    Certain,     A. Hostilius,               A. Hostilius (16) Mancinus,                                                            Certain,        L. Hostilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 140,741,144,        Attested,              M,              Aemilius,83,                      M.f. M.n.,                       Lepidus Porcina ,               Patrician,    Certain,     Yes,                    Certain,     M. Aemilius,                M. Aemilius (68) Lepidus,                                                              Certain,        M. Aemilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 140,741,        ,           Attested,              M,              Iunius,49,                      ,                                Brutus,                         ,             ,            Yes,                    Certain,     ,                           M. Iunius (48) Brutus,                                                                 Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 139,738,        ,           Inferred,              Sex,            Atilius,69,                      M.f. C.n.,                       Serranus ,                      ,             ,            ,                       ,            M. Atilius,                 M. Atilius (68) Serranus,                                                              Certain,        C. Atilius,                             ,                                                                  ,               ,                                                                   ,               A. Atilius (60) Serranus,                                          Certain,        ,
by 139,738,        ,           Inferred,              L,              Furius,78,                      ?f. ?P.n.,                       Philus ,                        Patrician,    Certain,     ,                       ,            ?. Furius,                  ,                                                                                      ,               ?P. Furius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
139,741,        ,           Attested,              Cn,             Cornelius,347,                     ,                                Scipio Hispanus,                Patrician,    Certain,     Yes,                    Certain,     ,                           Cn. Cornelius (346) Scipio Hispallus,                                                  Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 138,738,        ,           Inferred,              Ser,            Fulviius,64,                      Q.f. ?.n.,                       Flaccus ,                       ,             ,            Yes,                    Certain,     Q. Fulviius,                Q. Fulvius (61) Flaccus,                                                               Certain,        ?. Fulviius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 138,741,145,        Attested,              Q,              Calpurnius,86,                      C.f. C.n.,                       Piso ,                          ,             ,            Yes,                    Certain,     C. Calpurnius,              C. Calpurnius (62) Piso,                                                               Certain,        C. Calpurnius,                          ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 137,738,        ,           Inferred,              C,              Fulvius,53,                      Q.f. Cn.n.,                      Flaccus ,                       ,             ,            Yes,                    Certain,     Q. Fulvius,                 Q. Fulvius (60) Flaccus,                                                               Certain,        Cn. Fulvius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  741,        ,           Attested,              M,              Claudius,26,                      ,                                (Marcellus?),                   ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
?ca. 136,741,147,        Attested,              L,              Cornelius,192,                     ?.f. ?.n.,                       Lentulus ,                      Patrician,    Certain,     ,                       ,            ?. Cornelius,               P. Cornelius (353) Scipio Nasica (Corculum),                                           ,               ?. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 136,738,115,        Inferred,              L,              Calpurnius,96,                      L.f. ?Cn. or ?C.n.,              Piso Frugi,                     ,             ,            ,                       ,            L. Calpurnius,              ,                                                                                      ,               ?Cn. or ?C. Calpurnius,                 ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
136,741,146,        Attested,              P,              Mucius,17,                      P.f. Q.n.,                       Scaevola ,                      ,             ,            Yes,                    Certain,     P. Mucius,                  P. Mucius (16) Scaevola,                                                               Certain,        Q. Mucius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 135,741,149,        Attested,              M,              Cosconius,8,                       C.f.,                             ,                              ,             ,            ,                       ,            C. Cosconius,               ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 135,738,116,        Inferred,              L,              Tremelius,6,                       Cn.f.,                           Scrofa ,                        ,             ,            ,                       ,            Cn. Tremelius,              Cn. Tremelius (2),                                                                     Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 135,738,        ,           Inferred,              P,              Rupilius,5,                       P.f. P.n.,                        ,                              ,             ,            ,                       ,            P. Rupilius,                ,                                                                                      ,               P. Rupilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 135,738,117,        Inferred,              P,              Popillius,28,                      C.f. P.n.,                       Laenas,                         ,             ,            Yes,                    Certain,     C. Popillius,               C. Popillius (18) Laenas,                                                              Certain,        P. Popillius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  741,148,        Attested,              L,              Plautius,20,                      ,                                Hypsaeus ,                      ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
ca. 134,741,151,        Attested,              C,              Hostilius,18,                      A.f. L.n.,                       Mancinus,                       ,             ,            ,                       ,            A. Hostilius,               ,                                                                                      ,               L. Hostilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 134,738,118,        Inferred,              P,              Licinius,72,                      P.f. P.n.,                       Crassus Dives Mucianus,         ,             ,            Yes,                    Certain,     P. Licinius,                P. Mucius (16) Scaevola,                                                               Certain,        P. Licinius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 134,738,119,        Inferred,              L,              Valerius,175,                     ?L.f. ?L.n.,                     Flaccus,                        Patrician,    Certain,     ,                       ,            ?L. Valerius,               L. Valerius (174) Flaccus,                                                             ,               ?L. Valerius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
134,741,150,        Attested,              T,              Manlius,"              2, cf. 37 and 74",        ,                                ,                               Patrician,    Certain,     ,                       ,            ,                           T. Manlius (83) Torquatus,                                                             ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?ca. 133,739,121,        Inferred,              C,              Marcius,62,                      ,                                Figulus ,                       ,             ,            Yes,                    Certain,     ,                           C. Marcius (161) Figulus,                                                              Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 133,738,        ,           Inferred,              Ap,             Claudius,11,                      ?Ti.f. ?.n.,                     ?Nero ,                         Patrician,    Certain,     Yes,                    Certain,     ?Ti. Claudius,              ,                                                                                      ,               ?. Claudius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 133,739,120,        Inferred,              L,              Rupilius,4,                       (P.f. P.n.),                     ,                               ,             ,            ,                       ,            P. Rupilius,                ,                                                                                      ,               P. Rupilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
133,741,152,        Attested,              M,              Perperna,4,                       M.f. ?L.n.,                       ,                              ,             ,            ,                       ,            M. Perperna,                M. Perperna (3),                                                                       Certain,        ?L. Perperna,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 132,739,        ,           Inferred,              M',             Aquillius,10,                      M'.f. M.n.,                       ,                              ,             ,            ,                       ,            M'. Aquillius,              ,                                                                                      ,               M. Aquillius,                           ,                                                                  ,               ,                                                                   ,               C. Aquillius (20) Florus,                                          ,               ,
ERROR: Incorrect data  741,        ,           Attested,              C,              Sempronius,92,                      C.f. C.n.,                       Tuditanus ,                     ,             ,            ,                       ,            C. Sempronius,              ,                                                                                      ,               C. Sempronius,                          ,                                                                  ,               ,                                                                   ,               M. Sempronius (93) Tuditanus,                                      Certain,        ,,
ca. 131,741,153,        Attested,              T,              Annius,78,                      T.f. ?.n.,                       Rufus ,                         ,             ,            Yes,                    Certain,     T. Annius,                  T. Annius (64) Luscus,                                                                 Certain,        ?. Annius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
131,741,154,        Attested,              Cn,             Octavius,18,                      Cn.f. Cn.n.,                      ,                              ,             ,            Yes,                    Certain,     Cn. Octavius,               Cn. Octavius (17) ,                                                                    Certain,        Cn. Octavius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 130,739,122,        Inferred,              Ti,             Latinius,6,                       ,                                Pandusa ,                       ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               Y,
by 130,739,123,        Inferred,              L,              Cassius,72,                      ?.f. ?.n.,                       Longinus Ravilla,               ,             ,            Yes,                    Certain,     ?. Cassius,                 C. Cassius (55) Longinus or Q. Cassius (69) Longinus,                                  ,               ?. Cassius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 130,739,        ,           Inferred,              L,              Cornelius,105,                     L.f. ?.n.,                       Cinna ,                         Patrician,    Certain,     ,                       ,            L. Cornelius,               ,                                                                                      ,               ?. Cornelius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 129,739,124,        Inferred,              M,              Aemelius,71,                      ?.f. ?.n.,                       Lepidus,                        Patrician,    Certain,     ,                       ,            ?. Aemilius,                M. Aemilius (70) Lepidus,                                                              ,               ?. Aemilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 129,739,        ,           Inferred,              L,              Aurelius,180,                     L.f. L.n.,                       Orestes,                        ,             ,            Yes,                    Certain,     L. Aurelius,                L. Aurelius (179) Orestes,                                                             Certain,        L. Aurelius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 128,741,155,        Attested,              P,              Cornelius,            202a,                    P.f.,                            Lentulus ,                      Patrician,    Certain,     Yes,                    Certain,     P. Cornelius,               P. Cornelius (202) Lentulus,                                                           Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 128,739,        ,           Inferred,              M,              Fulviius,58,                      M.f. Q.n.,                       Flaccus ,                       ,             ,            Yes,                    Certain,     M. Fulviius,                ,                                                                                      ,               Q. Fulviius,                            Q. Fulvius (61) Flaccus or Q. Fulvius (60) Flaccus,                ,               ,                                                                   ,               ,                                                                  ,               ,
by 128,739,125,        Inferred,              M,              Plautius,21,                      ?.f. ?.n.,                       Hypsaeus,                       ,             ,            ,                       ,            ?. Plautius,                ,                                                                                      ,               ?. Plautius,                            L. Plautius (19) Hypsaeus,                                         ,               ,                                                                   ,               ,                                                                  ,               ,
ca. 127,741,157,        Attested,              M,              Licinius,57,                      ,                                Crassus (Agelastus) ,           ,             ,            Yes,                    Certain,     ,                           P. Licinius (60) Crassus,                                                              Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 127,739,        ,           Inferred,              C,              Cassius,56,                      ?.f. ?.n.,                       Longinus ,                      ,             ,            ,                       ,            ?. Cassius,                 ,                                                                                      ,               ?. Cassius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 127,741,156,        Attested,              C,              Sextius,20,                      C.f. C.n.,                       Calvunus ,                      ,             ,            ,                       ,            C. Sextius,                 ,                                                                                      ,               C. Sextius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?ca. 126,741,159,        Attested,              C,              Fannius,7,                       M.f. ?C.n.,                       ,                              ,             ,            ,                       ,            M. Fannius,                 ,                                                                                      ,               ?C. Fannius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by ?ca. 126,739,126,        Inferred,              C,              Sempronius,5,                       ?Cn.f.,                           ,                              ,             ,            ,                       ,            ?Cn. Sempronius,            ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by ca. 126,739,123,        Inferred,              L,              Manlius,              Mallius 6,               L.f.,                             ,                              Patrician,    ,            ,                       ,            L. Manlius,                 ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 126,739,        ,           Inferred,              Q,              Caecilius,82,                      Q.f. Q.n.,                       Metellus (Baliaricus) ,         ,             ,            Yes,                    Certain,     Q. Caecilius,               Q. Caecilius (94) Metellus Macedonicus ,                                               Certain,        Q. Caecilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 126,741,158,        Attested,              T,              Quinctius,47,                      ?T.f. ?T.n.,                     Flamininus ,                    Patrician,    Certain,     ,                       ,            ?T. Quinctius,              T. Quinctius (46) Flaminius,                                                           ,               ?T. Quinctius,                          ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 125,739,        ,           Inferred,              Cn,             Domitius,20,                      Cn.f. Cn.n.,                      Ahenobarbus ,                  ,             ,            Yes,                    Certain,     Cn. Domitius,               Cn. Domitius (19) Ahenobarbus,                                                         Certain,        Cn. Domitius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  741,        ,           Attested,              L,              Opimius,4,                       Q.f. Q.n.,                        ,                              ,             ,            Yes,                    Certain,     Q. Opimius,                 Q. Opimius (10) ,                                                                      Certain,        Q. Opimius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
by 123,739,        ,           Inferred,              P,              Manilius,14,                      ?f. ?P.n.,                        ,                              ,             ,            ,                       ,            ?. Manilius,                ,                                                                                      ,               ?P. Manilius,                           ,                                                                  ,               ,                                                                   ,               M'. Manilius (12) ,                                                Certain,        ,
by 123,739,127,        Inferred,              C,              Papirius,33,                      C.f. ?.n.,                       Carbo,                          ,             ,            ,                       ,            C. Papirius,                C. Papirius (32) Carbo,                                                                Certain,        ?. Papirius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 123,741,        ,           Attested,              Q,              Fabius,110,                     Q. Aemiliani f. Q.n.,            Maximus (Allobrogicus),         Patrician,    Certain,     Yes,                    Certain,     Q. Fabius Aemilianus,       Q. Fabius (109) Maximus Aemilianus,                                                    Certain,        Q. Fabius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
123,741,        ,           Attested,              Sex,            Iulius,150,                     ,                                Ceasar,                         Patrician,    Certain,     Yes,                    Certain,     ,                           Sex. Iulius (148/149) Caesar,                                                          Certain,        ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 122,739,        ,           Inferred,              L,              Caecilius,91,                      L.f. Q.n.,                       Metellus (Delmaticus) ,         ,             ,            Yes,                    Certain,     L. Caecilius,               L. Caecilius (83) Metellus Calvus ,                                                    Certain,        Q. Caecilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 122,741,160,        Attested,              L,              Aurelius,99,                      ?.f. ?.n.,                       Cotta ,                         ,             ,            ,                       ,            ?. Aurelius,                ,                                                                                      ,               ?. Aurelius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
before 122 ,741,160,        Attested,              ,               (Livius or Oppius?),  RE II A2 col. 1903,      ,                                Salinator ,                     ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?before 121,742,161,        Attested,              C,              Servilius,"            91, cf. 14",              (M.f.),                          Vatia ,                         ,             ,            ,                       ,            M. Servilius,               ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               P. Servilius (62) Geminus,                                         Certain,        ,
by 121,739,128,        Attested,",Inferred",    Q,              Marcius,91,                      Q.f. Q.n.,                       Rex ,                           Patrician,    Certain,     ,                       ,            Q. Marcius,                 Q. Marcius (90) Rex,                                                                   Certain,        Q. Marcius,                             ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               
by 121,739,        ,           Inferred,              M,              Porcius,10,                      M.f. M.n.,                       Cato,                           ,             ,            Yes,                    Certain,     M. Porcius,                 M. Porcius (14) Cato Licinianus,                                                       Certain,        M. Porcius,                             M. Porcius (*10) Cato,                                             Certain,        ,                                                                   ,               ,                                                                  ,               ,
by 121,742,162,        Attested,              C,              Atinius,10,                      ,                                Labeo Macerio ,                 ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       C. Atinius (9) Labeo,                                              Certain,        ,                                                                   ,               ,                                                                  ,               ,
by 121,742,163,        Attested,              Sex,            Pompeius,17,                      ,                                ,                               ,             ,            ,                       ,            ,                           ,                                                                                      ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?ca. 120,742,165,        Attested,              C,              Licinius,88,                      P.f. ?.n.,                       Getha ,                         ,             ,            ,                       ,            P. Licinius,                ,                                                                                      ,               ?. Licinius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
?ca. 120,742,166,        Attested,              M',             Valerius,248,                     ,                                Messalla ,                      Patrician,    Certain,     ,                       ,            ,                           M. Valerius (*45) Messalla,                                                            ,               ,                                       ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
by 120,742,164,        Attested,              L,              Caexilius,93,                      Q.f. Q.n.,                       Metellus (Diadematus) ,         ,             ,            Yes,                    Certain,     Q. Caecilius,               Q. Caecilius (94) Metellus Macedonicus ,                                               Certain,        Q. Caecilius,                           ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
ERROR: Incorrect data  742,        ,           Attested,              Q,              Mucius,21,                      Q.f. Q.n.,                       Scaevola,                       ,             ,            Yes,                    Certain,     Q. Mucius,                  Q. Mucius (20) Scaevola,                                                               Certain,        Q. Mucius,                              ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,,
by 119,745,210,        Attested,              M,              Aemilius,140,                     M.f. L.n.,                       Scaurus ,                       Patrician,    Certain,     ,                       ,            M. Aemilius,                ,                                                                                      ,               L. Aemilius,                            ,                                                                  ,               ,                                                                   ,               ,                                                                  ,               ,
