id,name,highest_office
465,Ser. Sulpicius (88) Praetextatus Praetextatus,"son of Ser. Sulpicius (31, cf. 94) Q. f. Ser. n. Camerinus Rufus"
466,C. Quinctius (26) Cincinnatus,tr. mil. c. p. 377
468,C. Licinius (161) C. f. P. n. Stolo,cos.? 364
469,L. Sextius (36) Sex. f. N. n. Sextinus Lateranus,cos. 366
471,C. Valerius (50) Potitus,tr. mil. c. p. 370
473,A. Cornelius (115) Cossus,tr. mil. c. p. 367
474,"M. Cornelius (249, cf. 248) P. f. M. n. Maluginensis",tr. mil. c. p. 367
475,Q. Quinctius (31) (Cincinnatus)?,son of Q. Quinctius (30) L. f. L. n. Cincinnatus
476,T. Quinctius (33) Cincinnatus Capitolinus,mag. eq.? 367
477,Sp. Servilius (86) C. f. C. n. Structus,tr. mil. c. p. 368
478,L. Papirius (44) Sp. f. C. n. Crassus,tr. mil. c. p. 368
479,L. Veturius (12) L. f. Sp. n. Crassus Cicurinus,grandson of Sp. Veturius (14) Sp. f. Sp. n. Crassus Cicurinus
481,C. Licinius (42) C. f. P. n. Calvus,cos.? 364
